Date,Time,Currency,Name,,,,,
2020-03-19 00:00:00,16:30,GBP,BOE Gov Bailey Speaks,,,,,116059
2020-03-20 00:00:00,12:30,CAD,Core Retail Sales m/m,-0.1%,0.2%,0.7%,0.5%,113717
2020-03-20 00:00:00,14:00,USD,Fed Announcement,,,,,116063
2020-03-20 00:00:00,15:00,USD,Fed Announcement,,,,,116065
2020-03-20 00:00:00,15:50,USD,President Trump Speaks,,,,,116064
2020-03-21 00:00:00,16:30,USD,President Trump Speaks,,,,,116075
2020-03-23 00:00:00,12:00,USD,Fed Announcement,,,,,116076
2020-03-23 00:00:00,22:12,USD,President Trump Speaks,,,,,116077
2020-03-24 00:00:00,08:15,EUR,French Flash Services PMI,29.0,39.6,52.5,52.6,111605
2020-03-24 00:00:00,08:30,EUR,German Flash Manufacturing PMI,45.7,40.1,48.0,47.8,111603
2020-03-24 00:00:00,08:30,EUR,German Flash Services PMI,34.5,43.0,52.5,53.3,111602
2020-03-24 00:00:00,09:30,GBP,Flash Manufacturing PMI,48.0,45.1,51.7,51.9,113432
2020-03-24 00:00:00,09:30,GBP,Flash Services PMI,35.7,45.0,53.2,53.3,113438
2020-03-24 00:00:00,10:15,All,G7 Meetings,,,,,116078
2020-03-24 00:00:00,13:45,USD,Flash Manufacturing PMI,49.2,45.1,50.7,50.8,111599
2020-03-24 00:00:00,16:05,USD,President Trump Speaks,,,,,116080
2020-03-25 00:00:00,07:00,GBP,CPI y/y,1.7%,1.7%,1.8%,,112301
2020-03-26 00:00:00,11:06,USD,Fed Chair Powell Speaks,,,,,116081
2020-03-26 00:00:00,12:00,GBP,Monetary Policy Summary,,,,,112085
2020-03-26 00:00:00,12:00,GBP,MPC Official Bank Rate Votes,0-0-9,0-0-9,0-9-0,,112088
2020-03-26 00:00:00,12:00,GBP,Official Bank Rate,0.10%,0.10%,0.10%,,112086
2020-03-26 00:00:00,12:30,USD,Unemployment Claims,3283K,1648K,282K,281K,110778
2020-03-27 00:00:00,13:00,CAD,BOC Rate Statement,,,,,116083
2020-03-27 00:00:00,13:00,CAD,Overnight Rate,0.25%,,0.75%,,116084
2020-03-27 00:00:00,13:30,CAD,BOC Press Conference,,,,,116085
2020-03-27 00:00:00,17:00,CAD,BOC Gov Poloz Speaks,,,,,116086
2020-03-27 00:00:00,21:30,USD,President Trump Speaks,,,,,116087
2020-03-29 00:00:00,21:43,USD,President Trump Speaks,,,,,116088
2020-03-30 00:00:00,21:15,USD,President Trump Speaks,,,,,116094
2020-03-31 00:00:00,00:00,NZD,ANZ Business Confidence,-63.5,,-19.4,,113394
2020-03-31 00:00:00,01:00,CNY,Manufacturing PMI,52.0,44.9,35.7,,115620
2020-03-31 00:00:00,12:30,USD,Fed Announcement,,,,,116095
2020-03-31 00:00:00,14:00,USD,CB Consumer Confidence,120.0,115.1,132.6,130.7,113933
2020-03-31 00:00:00,21:30,USD,President Trump Speaks,,,,,116096
2020-04-01 00:00:00,12:15,USD,ADP Non-Farm Employment Change,-27K,-150K,179K,183K,111105
2020-04-01 00:00:00,14:00,USD,ISM Manufacturing PMI,49.1,44.9,50.1,,111410
2020-04-01 00:00:00,21:37,USD,President Trump Speaks,,,,,116097
2020-04-02 00:00:00,12:30,USD,Unemployment Claims,6648K,3600K,3307K,3283K,110779
2020-04-02 00:00:00,21:23,USD,President Trump Speaks,,,,,116099
2020-04-03 00:00:00,12:30,USD,Average Hourly Earnings m/m,0.4%,0.2%,0.3%,,111075
2020-04-03 00:00:00,12:30,USD,Non-Farm Employment Change,-701K,-100K,275K,273K,111076
2020-04-03 00:00:00,12:30,USD,Unemployment Rate,4.4%,3.8%,3.5%,,111074
2020-04-04 00:00:00,19:30,USD,President Trump Speaks,,,,,116105
2020-04-05 00:00:00,22:45,USD,President Trump Speaks,,,,,116106
2020-04-06 00:00:00,14:30,CAD,BOC Business Outlook Survey,,,,,113656
2020-04-06 00:00:00,21:42,USD,President Trump Speaks,,,,,116110
2020-04-07 00:00:00,04:30,AUD,Cash Rate,0.25%,0.25%,0.25%,,112779
2020-04-07 00:00:00,04:30,AUD,RBA Rate Statement,,,,,112790
2020-04-07 00:00:00,21:42,USD,President Trump Speaks,,,,,116115
2020-04-08 00:00:00,01:00,NZD,Prelim ANZ Business Confidence,-73.1,,-63.5,,116116
2020-04-08 00:00:00,21:46,USD,President Trump Speaks,,,,,116121
2020-04-09 00:00:00,09:15,All,OPEC Meetings,,,,,116102
2020-04-09 00:00:00,10:15,All,OPEC-JMMC Meetings,,,,,116104
2020-04-09 00:00:00,11:30,EUR,ECB Monetary Policy Meeting Accounts,,,,,112839
2020-04-09 00:00:00,12:30,CAD,Employment Change,-1010.7K,-427.0K,30.3K,,113696
2020-04-09 00:00:00,12:30,CAD,Unemployment Rate,7.8%,7.4%,5.6%,,113695
2020-04-09 00:00:00,12:30,USD,Fed Announcement,,,,,116122
2020-04-09 00:00:00,12:30,USD,Unemployment Claims,6606K,5000K,6867K,6648K,110780
2020-04-09 00:00:00,14:00,USD,Fed Chair Powell Speaks,,,,,116119
2020-04-09 00:00:00,22:24,USD,President Trump Speaks,,,,,116124
2020-04-10 00:00:00,12:30,USD,Core CPI m/m,-0.1%,0.1%,0.2%,,114138
2020-04-10 00:00:00,12:30,USD,CPI m/m,-0.4%,-0.3%,0.1%,,114139
2020-04-10 00:00:00,12:30,USD,CPI y/y,1.5%,1.6%,2.3%,,128629
2020-04-10 00:00:00,15:15,All,G20 Meetings,,,,,116109
2020-04-10 00:00:00,18:00,USD,President Trump Speaks,,,,,116127
2020-04-12 00:00:00,10:15,All,OPEC-JMMC Meetings,,,,,116131
2020-04-13 00:00:00,21:49,USD,President Trump Speaks,,,,,116133
2020-04-14 00:00:00,03:49,CNY,Trade Balance,139B,175B,-43B,,115750
2020-04-14 00:00:00,10:15,All,G7 Meetings,,,,,116132
2020-04-14 00:00:00,22:15,USD,President Trump Speaks,,,,,116137
2020-04-15 00:00:00,12:30,USD,Core Retail Sales m/m,-4.5%,-4.9%,-0.4%,,114249
2020-04-15 00:00:00,12:30,USD,Retail Sales m/m,-8.7%,-8.0%,-0.4%,-0.5%,114248
2020-04-15 00:00:00,14:00,CAD,BOC Monetary Policy Report,,,,,113667
2020-04-15 00:00:00,14:00,CAD,BOC Rate Statement,,,,,113668
2020-04-15 00:00:00,14:00,CAD,Overnight Rate,0.25%,0.25%,0.25%,,113666
2020-04-15 00:00:00,14:30,CAD,BOC Press Conference,,,,,113669
2020-04-15 00:00:00,21:50,USD,President Trump Speaks,,,,,116138
2020-04-16 00:00:00,01:30,AUD,Employment Change,5.9K,-33.0K,25.6K,26.7K,114587
2020-04-16 00:00:00,01:30,AUD,Unemployment Rate,5.2%,5.4%,5.1%,,114599
2020-04-16 00:00:00,12:30,USD,Unemployment Claims,5245K,5350K,6615K,6606K,110781
2020-04-16 00:00:00,20:00,CAD,BOC Gov Poloz Speaks,,,,,116140
2020-04-16 00:00:00,22:08,USD,President Trump Speaks,,,,,116141
2020-04-17 00:00:00,02:00,CNY,GDP q/y,-6.8%,-6.2%,6.0%,,115740
2020-04-17 00:00:00,22:00,USD,President Trump Speaks,,,,,116142
2020-04-18 00:00:00,22:00,USD,President Trump Speaks,,,,,116143
2020-04-19 00:00:00,22:25,USD,President Trump Speaks,,,,,116144
2020-04-20 00:00:00,21:40,USD,President Trump Speaks,,,,,116146
2020-04-21 00:00:00,05:00,AUD,RBA Gov Lowe Speaks,,,,,116139
