Datetime,H4_high,H4_low,Last_Fractal_High,Last_Fractal_Low,Directional_bias,Bar_High,Bar_Low,result
2022-09-28 10:00:00,0.96026,0.95382,0.96026,0.95989,1,0.96026,0.95382,1
2022-09-28 14:00:00,0.96151,0.95934,0.96026,0.95989,2,0.96151,0.95934,1
2022-09-28 18:00:00,0.97316,0.95989,0.96026,0.95989,2,0.97316,0.97232,1
2022-09-28 18:00:00,0.97316,0.95989,0.96026,0.97232,2,0.97316,0.97232,1
2022-09-28 22:00:00,0.97361,0.97232,0.96026,0.97232,-1,0.97361,0.97288,-1
2022-09-29 02:00:00,0.9687,0.96782,0.96026,0.97232,-1,0.9687,0.96782,-1
2022-09-29 06:00:00,0.96688,0.96587,0.96026,0.97232,-1,0.96688,0.96587,1
2022-09-29 10:00:00,0.96967,0.96826,0.96026,0.97232,-1,0.96967,0.96826,1
2022-09-29 14:00:00,0.97599,0.97232,0.96026,0.97232,-1,0.97599,0.973,1
2022-09-29 14:00:00,0.97599,0.97232,0.97599,0.97232,-1,0.97599,0.973,1
2022-09-29 18:00:00,0.97863,0.97232,0.97599,0.97232,2,0.97863,0.97766,1
2022-09-29 22:00:00,0.9835,0.97232,0.97599,0.97232,2,0.9835,0.98159,1
2022-09-29 22:00:00,0.9835,0.97232,0.97599,0.98159,2,0.9835,0.98159,1
2022-09-30 06:00:00,0.9835,0.97232,0.98335,0.98159,2,0.98335,0.98169,1
2022-10-02 22:00:00,0.9835,0.97232,0.98335,0.97921,2,0.98044,0.97921,1
2022-10-04 02:00:00,0.9835,0.97232,0.98335,0.9806,2,0.98159,0.9806,1
2022-10-04 06:00:00,0.98646,0.9806,0.98335,0.9806,2,0.98646,0.98376,1
2022-10-04 10:00:00,0.98932,0.9806,0.98335,0.9806,2,0.98932,0.98778,1
